@relation 'project-weka.filters.unsupervised.attribute.Remove-R2-5-weka.filters.unsupervised.attribute.Remove-R34,38,40-weka.filters.unsupervised.attribute.Remove-R9-10,13-16,24-25,32-34,37-weka.filters.unsupervised.attribute.Remove-R3'

@attribute project {true,false}
@attribute Lexical_Diversity numeric
@attribute Pausality numeric
@attribute Word_Quantity numeric
@attribute Verb_Quantity numeric
@attribute Modifier_Quantity numeric
@attribute Sentence_Quantity numeric
@attribute Affect_Ratio numeric
@attribute Sensory_Ratio numeric
@attribute Average_Sentence_Length numeric
@attribute Average_Word_Length numeric
@attribute Content_Word_Diversity numeric
@attribute Redundancy numeric
@attribute Misspelled_Words numeric
@attribute You_References numeric
@attribute Self_References numeric
@attribute Pleasantness numeric
@attribute Activation numeric
@attribute Imagery numeric
@attribute Pos_Pleasantness_1dev numeric
@attribute Pos_Activation_1dev numeric
@attribute Pos_Imagery_1dev numeric
@attribute Neg_Activation_1dev numeric
@attribute Neg_Imagery_1dev numeric

@data
true,0.5,1,2,0,0,2,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
true,0.5,1,10,3,0,4,0.2,0,2.5,3.2,1,1,0.2,0,0.4,2.275,1.899,1.466667,0.333333,0.333333,0,0.333333,0.333333
true,0.5,0,18,6,0,1,0,0,18,3.888889,1,8,0.111111,0,0.222222,1.7805,1.631243,1.371429,0.142857,0.142857,0,0.428571,0.571429
true,0.5,0,2,2,0,1,0,0,2,4,1,0,0,0,0,2.125,1.7273,2,0,0,0,0,0
true,0.5,0,24,4,2,1,0,0,24,2.416667,1,10,0.083333,0,0,1.89445,1.77913,1.24,0.1,0.1,0,0.3,0.7
true,0.5,4,10,5,2,1,0,0,10,3.2,1,4,0,0,0,2.120367,1.583733,1.333333,0,0,0,0.666667,0.333333
true,0.5,1.5,14,5,0,4,0.285714,0,3.5,3.571429,1,1,0,0.285714,0.285714,2.445975,1.968175,2.15,0.75,0.5,0.5,0.25,0.25
true,0.46875,1,32,5,6,6,0,0.0625,5.333333,4.125,1,2.333333,0,0,0,1.7418,1.707873,1.453333,0.066667,0.133333,0.133333,0.333333,0.533333
true,0.5,1,26,6,0,4,0,0,6.5,4.384615,1,1.5,0.333333,0,0,1.833343,1.676886,1.8,0,0,0.285714,0.285714,0.285714
true,0.5,0.666667,12,2,4,3,0.166667,0,4,41,1,0.666667,0.333333,0.333333,0,1.9643,1.607133,1.2,0,0,0,0,0.666667
true,0.5,1,4,2,0,2,0,0,2,2.5,1,1,0,0,0,1.6389,1.7232,1.2,0,0,0,0,1
true,0.423077,2.5,52,11,4,4,0,0.076923,13,3.307692,0.866667,5.5,0,0,0.153846,1.928555,1.740123,1.636364,0.181818,0.090909,0.181818,0.272727,0.454545
